Player,Points
Carlos Alcaraz,2000
Novak Djokovic,1300
Alexander Zverev,840
Jannik Sinner,800
Lorenzo Musetti,565
Jakub Mensik,495
Alex de Minaur,485
Ben Shelton,450
Alexander Bublik,450
Daniil Medvedev,450
Learner Tien,425
Tomas Machac,350
Sebastian Baez,330
Hubert Hurkacz,315
Tommy Paul,300
Adolfo Daniel Vallejo,280
Casper Ruud,255
Luciano Darderi,250
Taylor Fritz,235
Rinky Hijikata,214
Marcos Giron,210
Francisco Cerundolo,200
Andrey Rublev,200
Alejandro Davidovich Fokina,200
Fabian Marozsan,200
Chris Rodesch,196
Francesco Maestrelli,186
Nuno Borges,175
Stefanos Tsitsipas,175
Brandon Nakashima,175
Ugo Humbert,175
James Duckworth,172
Kyrian Jacquet,172
Dane Sweeny,171
Zizou Bergs,165
Eliot Spizzirri,163
Arthur Gea,155
Daniil Glinka,152
Alexander Blockx,151
Valentin Vacherot,150
Cameron Norrie,150
Rafael Jodar,149
Luca Van Assche,147
Pedro Martinez,143
Stan Wawrinka,140
Zachary Svajda,140
Toby Samuel,136
Alex Michelsen,135
Rei Sakamoto,133
Quentin Halys,126
Marin Cilic,125
Frances Tiafoe,125
Botic van de Zandschulp,125
Tomas Martin Etcheverry,125
Federico Agustin Gomez,122
Elmer Moller,120
Aleksandar Kovacevic,118
Arthur Fery,114
Alexander Shevchenko,113
Cristian Garin,110
Giovanni Mpetshi Perricard,110
Sebastian Korda,110
Alex Bolt,109
Ilia Simakin,108
Ethan Quinn,107
Kamil Majchrzak,107
Stefan Kozlov,106
Yibing Wu,105
Jan-Lennard Struff,105
Michael Zheng,102
Clement Chidekh,101
Corentin Moutet,100
Karen Khachanov,100
Jaime Faria,100
Juncheng Shang,100
Jaume Munar,100
Reilly Opelka,100
Alejandro Tabilo,98
Gustavo Heide,97
Zdenek Kolar,96
Nicolas Mejia,95
Elias Ymer,92
Timofey Skatov,90
Hamad Medjedovic,88
Nishesh Basavareddy,87
Vit Kopriva,85
Rio Noguchi,84
Pol Martin Tiffon,83
Mikhail Kukushkin,81
Hayato Matsuoka,81
Facundo Mena,81
Filip Cristian Jianu,80
Liam Draxl,78
Emilio Nava,77
Juan Pablo Varillas,77
James McCabe,77
Kaichi Uchida,76
Lorenzo Sonego,75
Marton Fucsovics,75
Alexandre Muller,75
Francisco Comesana,75
Lloyd Harris,75
Yosuke Watanuki,75
Jay Clarke,75
Luca Nardi,74
Coleman Wong,74
Tomas Barrios Vera,74
Thiago Agustin Tirante,73
Raphael Collignon,73
Aleksandar Vukic,73
Andrea Collarini,73
Keegan Smith,73
Lautaro Midon,72
Liam Broady,70
Michael Mmoh,69
Jason Kubler,68
Remy Bertola,68
Michael Geerts,68
Felix Gill,67
Marek Gengel,67
Juan Estevez,67
Max Houkes,66
Florian Broska,65
Yannick Hanfmann,64
Tung-Lin Wu,64
Dragos Nicolae Madaras,64
Jordan Thompson,62
Sean Cuenin,61
Franco Agamenone,61
Jurij Rodionov,59
Alastair Gray,58
Philip Henning,58
Jack Pinnington Jones,57
