Player,Points
Aryna Sabalenka,3800
Elena Rybakina,3483
Jessica Pegula,2405
Elina Svitolina,2255
Karolina Muchova,1945
Victoria Mboko,1927
Coco Gauff,1695
Mirra Andreeva,1368
Amanda Anisimova,1130
Belinda Bencic,1079
Iga Swiatek,1020
Iva Jovic,916
Cristina Bucsa,771
Sorana Cirstea,764
Linda Noskova,720
Jelena Ostapenko,717
Alexandra Eala,711
Elise Mertens,705
Kimberly Birrell,678
Sara Bejlek,640
Elisabetta Cocciaretto,638
Anna Kalinskaya,631
Clara Tauson,627
Maria Sakkari,626
Hailey Baptiste,597
Janice Tjen,588
Madison Keys,586
Magdalena Frech,582
(2001) Wang Xinyu,573
Jasmine Paolini,562
Magda Linette,558
Peyton Stearns,552
Diana Shnaider,535
Yulia Putintseva,496
Ekaterina Alexandrova,491
Jaqueline Cristian,489
Katie Boulter,484
Talia Gibson,468
Marta Kostyuk,465
Zeynep Sonmez,412
Antonia Ruzic,404
Marie Bouzkova,379
Anastasia Zakharova,377
Emma Raducanu,373
Sonay Kartal,367
Alycia Parks,365
Tereza Valentova,358
Katerina Siniakova,348
Ajla Tomljanovic,347
Shuai Zhang,343
Varvara Gracheva,337
Anna Blinkova,335
Camila Osorio,324
Leylah Fernandez,320
Nikola Bartunkova,313
Maddison Inglis,302
Taylor Townsend,293
Naomi Osaka,292
Ann Li,278
Dayana Yastremska,278
Lilli Tagger,275
Oksana Selekhmeteva,273
Anastasia Potapova,267
Liudmila Samsonova,267
Aliaksandra Sasnovich,263
Storm Hunter,261
Emma Navarro,261
Anna Bondar,258
Daria Kasatkina,257
McCartney Kessler,257
Linda Fruhvirtova,256
Gabriela Ruse Elena,256
Karolina Pliskova,251
Qinwen Zheng,250
Maya Joint,248
Tamara Korpatsch,247
Ashlyn Krueger,247
Paula Badosa,243
Ella Seidel,229
Katie Volynets,226
Victoria Jimenez Kasintseva,222
Caty McNally,220
Diane Parry,216
Andrea Lazaro Garcia,208
Kamilla Rakhimova,208
(1998) Yuan Yue,196
Alina Charaeva,185
Taylah Preston,181
Yuliia Starodubtseva,180
Himeno Sakatsume,178
Alina Korneeva,177
Priscilla Hon,171
Viktorija Golubic,171
Jessica Bouzas Maneiro,169
Lanlana Tararudee,168
Barbora Krejcikova,166
Zhuoxuan Bai,164
Laura Siegemund,161
Rebecca Sramkova,158
Rebeka Masarova,157
Olga Danilovic,154
Donna Vekic,148
Daria Snigur,146
Solana Sierra,140
Petra Marcinko,135
Emiliana Arango,134
Moyuka Uchijima,133
Marina Stakusic,132
Elsa Jacquemot,130
Elvina Kalieva,128
Renata Zarazua,128
Simona Waltert,121
Dominika Salkova,119
Mayar Sherif,118
Joanna Garland,114
Maja Chwalinska,114
Francesca Jones,112
Linda Klimovicova,111
Vera Zvonareva,111
Oleksandra Oliynykova,109
Kaja Juvan,103
Whitney Osuigwe,101
Dalma Galfi,98
Polina Kudermetova,96
Ekaterine Gorgodze,96
Kayla Day,91
Julia Grabher,88
Sloane Stephens,87
Sofia Kenin,85
Darja Vidmanova,84
Tatjana Maria,84
Eva Lys,83
Sinja Kraus,83
Emerson Jones,80
Olivia Gadecki,77
Sofia Costoulas,75
Darja Semenistaja,75
Nuria Brancaccio,72
Tamara Zidansek,72
Lulu Sun,72
Arina Rodionova,71
Fiona Ferro,69
Kaitlin Quevedo,68
Mary Stoiana,68
Matilde Jorge,64
Maria Timofeeva,63
Chloe Paquet,63
Elena Pridankina,62
Marketa Vondrousova,61
Viktoriya Tomova,61
Polina Iatcenko,56
Elina Avanesyan,55
Mia Pohankova,54
Caroline Dolehide,53
Beatriz Haddad Maia,53
Hanyu Guo,51
Varvara Lepchenko,51
Fangran Tian,49
Mei Yamaguchi,48
Viktoria Morvayova,48
Shuo Liang En,47
Akasha Urhobo,45
Veronika Erjavec,44
Francisca Jorge,44
Panna Udvardy,43
Marina Bassols Ribera,42
Youngsuh Lee Carol,42
Anhelina Kalinina,42
Lucrezia Stefanini,42
Guiomar Maristany Zuleta De Reales,41
Carole Monnet,41
Claire Liu,39
Jasmin Ortenzi,38
Yexin Ma,38
Kiara Toth Amarissa,37
Katarina Zavatska,37
Selena Janicijevic,36
Lourdes Carle Maria,36
Katarzyna Kawa,36
Polona Hercog,34
Diana Martynov,33
Venus Williams,33
Leolia Jeanjean,33
Anastasia Pavlyuchenkova,32
Elizabeth Mandlik,32
Lin Zhu,32
Gabriela Knutson,32
Bianca Andreescu,32
Iryna Shymanovich,32
Lucia Bronzetti,32
Caroline Werner,31
Greet Minnen,31
Lia Karatancheva,31
Eudice Chong,30
Yafan Wang,30
Rashmikaa Bhamidipaty Shrivalli,30
Tereza Martincova,30
Sahaja Yamalapalli,30
Wushuang Zheng,30
Sara Sorribes Tormo,30
Mananchaya Sawangkaew,30
Anastasia Gasanova,30
Cadence Brace,28
Ayana Akli,28
Anna Frey,27
Sakura Hosogi,27
Mia Ristic,26
Nuria Parrizas-Diaz,26
Heather Watson,25
Naiktha Bains,25
Miriana Tona,25
Jennifer Brady,22
Lola Radivojevic,22
Misaki Matsuda,21
Anastasia Zolotareva,21
Sofia Sanchez Ana,21
Teodora Kostovic,21
Tatiana Prozorova,21
Lizette Cabrera,21
Julia Riera,21
Despina Papamichail,21
Mai Hontama,21
Silvia Ambrosio,20
Nadine Smith Tina,20
Carson Branstine,20
Lina Gjorcheska,20
Elena Micic,20
Harmony Tan,20
Anouk Koevermans,20
Justina Mikulskyte,20
(Kuzmova) Hruncakova Viktoria,20
Harriet Dart,20
Irene Burillo Escorihuela,20
Kathinka von Deichmann,20
Anastasia Tikhonova,19
Louisa Chirico,19
Hanne Vandewinkel,19
Madison Brengle,19
Momoko Kobori,18
Arianne Hartono,18
Ayano Shimizu,18
Astrid Lew Yan Foon,18
Kayla Cross,18
Aliona Falei,18
Anna Siskova,18
Kristiana Sidorova,18
Vendula Valdmannova,18
Rina Saigo,18
Suzan Lamens,18
Camilla Rosatello,18
Mona Barthel,18
Manon Leonard,18
Mariia Tkacheva,17
Ipek Oz,17
Martina Trevisan,17
Katarina Jokic,17
Gabriela Lee,16
Fiona Crawley,16
Oceane Dodin,16
Angelina Voloshchuk,16
Dalila Jakupovic,16
Laura Pigossi,16
Yasmine Kabbaj,16
Eva Vedder,15
Kristina Mladenovic,15
Eri Shimizu,15
Sohyun Park,15
Aliona Bolsova Zadoinov,15
Tena Lukas,15
Nao Hibino,15
Leyre Romero Gormaz,15
Katarzyna Piter,14
Yeonwoo Ku,14
Xinyu Gao,14
Sarah Rakotomanga Rajaonah Tiantsoa,14
Xiaodi You,14
Mina Hodzic,13
Amy Zhu,12
Jia-Jing Lu,12
Vaishnavi Adkar,12
Alisa Oktiabreva,12
Thasaporn Naklo,12
Haruka Kaji,12
Peangtarn Plipuech,12
Kyoka Okamura,12
Miho Kuramochi,12
Madelyn Nugroho Priska,12
Han Shi,12
Katherine Sebov,12
Susan Bandecchi,12
Zarina Diyas,11
Noma Noha Akugue,10
Nicole Fossa Huergo,9
Lisa Pigato,8
Bianca Bulgaru Miriam,7
Alevtina Ibragimova,7
Lea Ma,7
Yasmine Mansouri,7
Ena Shibahara,7
Tara Wuerth,6
Dalayna Hewitt,6
Shilin Xu,6
Ekaterina Kazionova,6
Zuzanna Pawlikowska,6
Lucija Ciric Bagaric,6
Yidi Yang,6
Anna-Lena Friedsam,6
Dalila Spiteri,6
Carolyn Ansari,6
Nika Radisic,5
Berfu Cengiz,5
Arantxa Rus,5
Ana Petkovic,4
Mia Horvit,4
Alana Smith,4
Sara Daavettila,4
Ankita Raina,4
Nadiya Kolb,4
Victoria Hu,4
Anastasia Kulikova,4
Martina Colmegna,4
Sachia Vickery,4
Barbora Palicova,4
Marie Dittmann Gina,4
Elena Cabezas Dominguez Sofia,4
Jule Niemeier,4
Sada Nahimana,4
Alice Rame,4
Jessika Ponchet,4
Tahlia Kokkinis,3
Stefani Webb,3
Sijia Wei,3
Destanee Aiava,3
Astra Sharma,3
Aleksandra Krunic,3
Anastasija Sevastova,3
Renee Alame,3
Ada Kumru,3
Mingge Xu,3
Laura Samson,3
Emily Appleton,3
Julieta Pareja,3
Alana Subasic,3
Bernarda Pera,2
Ksenia Efremova,2
Monika Ekstrand,2
Thea Frodin,2
Adelina Lachinova,2
Analu Freitas,2
Sara Lanca,2
Hiroko Kuwata,2
Martina Capurro Taborda,2
Valeriya Strakhova,2
Ekaterina Yashina,2
Luisina Giovannini,2
Katrina Scott,2
Jessica Pieri,2
Erika Andreeva,2
Sinclair Rogers Anna,2
Alice Tubello,2
Ayla Aksu,2
Sara Saito,2
Sarah Rokusek,2
Anastasiia Sobolieva,2
Tiphanie Lemaitre,2
Georgiana Serban Raluca,2
Vlada Kozak,1
Isabella Guillen Giselle,1
Mara Gae,1
Andreea Herea Carmen,1
Brenda Fruhvirtova,1
Marian Gomez Pezuela Cano,1
Ekaterina Reyngold,1
Robin Montgomery,1
Teresa Franco Dias,1
Freya Christie,1
Min Liu,1
Carol Zhao,1
Ana Bogdan,1
Emily Webley-Smith,1
Madalena Matias,1
Tori Russell,1
Jizelle Sibai,1
Sarah Mildren,1
Ellie Schoppe,1
Aishi Das,1
Kanon Sawashiro,1
Julie Pastikova,1
Isabel Higuita Barraza Mariana,1
Malaika Rapolu,1
Carson Tanguilig,1
Selina Atay,1
Maitane Arconada Usue,1
Mary Lewis,1
Ana Konjuh,1
Maaya Rajeshwaran Revathi,1
Elizabeth Coleman,1
Ekaterina Ovcharenko,1
Saumya Vig,1
Sonal Patil,1
Aoi Ito,1
Elyse Tse,1
Nahia Berecoechea,1
Denislava Glushkova,1
Ikumi Yamazaki,1
Dileep Nitture Akanksha,1
Zeel Desai,1
Filipa Santos Ana,1
Naoko Eto,1
Ava Beck,1
Defne Cirpanli,1
Camila Torres Murcia Maria,1
