Player,Points
Carlos Alcaraz,2510
Novak Djokovic,1310
Daniil Medvedev,1010
Alex de Minaur,995
Ben Shelton,960
Jannik Sinner,910
Alexander Zverev,900
Felix Auger-Aliassime,825
Jakub Mensik,805
Tomas Martin Etcheverry,735
Alexander Bublik,710
Luciano Darderi,675
Flavio Cobolli,640
Taylor Fritz,625
Francisco Cerundolo,610
Andrey Rublev,610
Lorenzo Musetti,575
Frances Tiafoe,565
Sebastian Baez,540
Alejandro Tabilo,538
Learner Tien,535
Tommy Paul,525
Tallon Griekspoor,490
Sebastian Korda,470
Brandon Nakashima,460
Ugo Humbert,460
Arthur Fils,390
Alejandro Davidovich Fokina,360
Tomas Machac,350
Vit Kopriva,345
Miomir Kecmanovic,345
Marin Cilic,335
Stefanos Tsitsipas,335
Hubert Hurkacz,325
Adolfo Daniel Vallejo,324
Casper Ruud,315
Karen Khachanov,310
Luca Van Assche,288
Ignacio Buse,285
Yannick Hanfmann,279
Quentin Halys,274
Dane Sweeny,268
Francesco Maestrelli,266
Stan Wawrinka,265
Valentin Vacherot,260
Fabian Marozsan,260
Denis Shapovalov,260
Rinky Hijikata,258
Aleksandar Kovacevic,253
Rafael Jodar,249
Jiri Lehecka,245
Marcos Giron,245
Yibing Wu,237
Botic van de Zandschulp,235
Adrian Mannarino,235
Zizou Bergs,225
Alex Michelsen,220
Jaime Faria,219
Zachary Svajda,216
Alexander Blockx,215
Eliot Spizzirri,213
Arthur Gea,211
Cameron Norrie,210
Thiago Agustin Tirante,208
Raphael Collignon,208
Juan Manuel Cerundolo,201
Jaume Munar,200
Sho Shimabukuro,196
Chris Rodesch,196
Camilo Ugo Carabelli,195
Giovanni Mpetshi Perricard,195
Pedro Martinez,193
Nuno Borges,185
Rei Sakamoto,183
James Duckworth,182
Jack Pinnington Jones,182
Roman Andres Burruchaga,182
Jan-Lennard Struff,178
Vilius Gaubas,178
Titouan Droguet,173
Kyrian Jacquet,172
Zhizhen Zhang,170
Ethan Quinn,167
Daniel Merida,166
Daniil Glinka,166
Alex Bolt,165
Martin Damm,164
Christopher O'Connell,162
Mattia Bellucci,162
Arthur Rinderknech,160
Clement Chidekh,156
Alexander Shevchenko,152
Terence Atmane,152
Hamad Medjedovic,151
Lloyd Harris,150
Coleman Wong,150
Borna Gojo,149
Pablo Carreno Busta,148
Federico Agustin Gomez,147
Toby Samuel,146
Jenson Brooksby,145
Luca Nardi,145
Elmer Moller,145
Elias Ymer,140
Emilio Nava,137
Benjamin Bonzi,136
Marton Fucsovics,135
Cristian Garin,135
Matteo Berrettini,135
Felix Gill,134
Stefan Kozlov,130
Ilia Simakin,128
Zsombor Piros,125
Tomas Barrios Vera,122
Alexis Galarneau,121
Alexei Popyrin,120
Patrick Kypson,120
Dino Prizmic,119
Francisco Comesana,118
Kamil Majchrzak,117
Pol Martin Tiffon,117
Arthur Fery,114
Zdenek Kolar,114
Francesco Passaro,112
Corentin Moutet,110
Reilly Opelka,110
Damir Dzumhur,110
Lautaro Midon,110
Nishesh Basavareddy,108
Sebastian Ofner,108
Nicolas Mejia,108
Timofey Skatov,104
Mikhail Kukushkin,104
Gustavo Heide,103
Guido Ivan Justo,103
Michael Zheng,102
Dusan Lajovic,102
Chun-Hsin Tseng,101
Moise Kouame,101
Juncheng Shang,100
Filip Cristian Jianu,100
Federico Cina,99
Keegan Smith,99
Dalibor Svrcina,97
Colton Smith,97
Rio Noguchi,96
Stefanos Sakellaridis,95
Hayato Matsuoka,94
Facundo Diaz Acosta,94
Jay Clarke,93
Andrea Pellegrino,92
Tristan Schoolkate,91
Pierre-Hugues Herbert,91
Stefano Travaglia,91
Frederico Ferreira Silva,91
Juan Pablo Varillas,91
Maks Kasnikowski,91
Kaichi Uchida,90
James McCabe,89
Facundo Mena,89
Braden Shick,87
Joel Schwaerzler,86
Igor Marcondes,86
Mariano Navone,84
Stefan Dostanic,84
Michael Geerts,84
Aleksandar Vukic,83
Michael Mmoh,81
Andrea Collarini,81
Yosuke Watanuki,79
Florian Broska,79
Charles Broom,79
Liam Draxl,78
Tung-Lin Wu,77
Liam Broady,77
Ugo Blanchet,77
Hugo Gaston,76
Alejandro Moro Canas,76
Alastair Gray,76
Lorenzo Sonego,75
Alexandre Muller,75
Carlos Sanchez Jover,75
Murphy Cassone,74
Jurij Rodionov,73
Remy Bertola,73
Mackenzie McDonald,72
Clement Tabur,72
Joao Fonseca,70
Valentin Royer,70
Bernard Tomic,70
Max Houkes,69
Marek Gengel,69
Juan Estevez,69
Jason Kubler,68
Nicolai Budkov Kjaer,67
Otto Virtanen,67
Hugo Dellien,67
Buvaysar Gadamauri,67
Marc-Andrea Huesler,65
Oleg Prihodko,65
Sean Cuenin,64
Dragos Nicolae Madaras,64
Pavel Kotov,63
Florent Bax,63
Hugo Grenier,63
Jordan Thompson,62
Roberto Carballes Baena,62
Blake Ellis,62
Miguel Damas,62
Manas Dhamne,62
Andres Andrade,61
Lorenzo Giustino,61
Lui Maxted,61
Franco Agamenone,61
Jack Draper,60
Gael Monfils,60
Oliver Crawford,60
Alvaro Guillen Meza,60
Gianluca Cadenasso,60
Tom Gentzsch,60
Philip Henning,60
Adam Walton,59
Thiago Seyboth Wild,59
Jan Choinski,59
Andrej Martin,58
Thomas Faurel,58
Marko Topo,57
Thiago Monteiro,57
Edas Butvilas,57
Juan Manuel La Serna,57
Diego Dedura,56
Eduardo Ribeiro,56
Denis Yevseyev,56
Stefan Palosi,55
Max Alcala Gurri,55
Matteo Martineau,54
Maximus Jones,54
Max Basing,54
Soonwoo Kwon,53
Juan Sebastian Gomez,53
Juan Carlos Prado Angelo,53
Digvijaypratap Singh,53
Carl Emil Overbeck,53
Ioannis Xilas,53
Arthur Weber,52
Andrea Vavassori,51
Andrea Guerrieri,51
Guy Den Ouden,50
Yasutaka Uchiyama,50
Cyril Vandermeersch,50
Tai Sach,50
Jerome Kym,49
Justin Engel,49
Max Schoenhaus,49
Alex Barrena,49
Samuele Pieri,49
Nikolas Sanchez Izquierdo,49
Alafia Ayeni,48
Pablo Llamas Ruiz,48
Henri Squire,48
Eliakim Coulibaly,48
Sergey Fomin,48
Duncan Chan,47
Daniel Michalski,47
Billy Harris,46
Sascha Gueymard Wayenburg,46
Pedro Boscardin Dias,46
Roberto Bautista Agut,45
Grigor Dimitrov,45
Gabriel Diallo,45
Marco Cecchinato,45
Adrian Boitan,45
Harry Wendelken,45
Daniel Dutra da Silva,45
Marco Trungelliti,44
Ivan Gakhov,44
Yi Zhou,44
Akira Santillan,44
Daniel Milavsky,44
Jacob Fearnley,43
Lilian Marmousez,43
Mert Alkaya,43
Matej Dodig,43
Georgii Kravchenko,43
Petr Nesterov,43
Lucio Ratti,43
Cannon Kingsley,43
Valerio Aboian,42
Lukas Pokorny,41
Andrej Nedic,41
Tommaso Compagnucci,41
Yaroslav Demin,41
Juan Bautista Torres,41
Robin Bertrand,41
Aidan McHugh,40
Daniel Masur,40
Petr Brunclik,40
Gavin Young,40
Gonzalo Bueno,40
Niels Visker,40
Quinn Vandecasteele,39
Raul Brancaccio,39
Luciano Emanuel Ambrogi,39
Cedrik-Marcel Stebe,38
Max Hans Rehberg,38
Alan Fernando Rubio Fierros,38
Dan Added,38
Christian Langmo,38
Petr Bar Biryukov,38
Samuel Vincent Ruggeri,37
Paul Jubb,37
Mats Rosenkranz,36
Darwin Blanch,36
Maxim Mrva,36
Martin Krumich,36
Harold Mayot,35
Mees Rottgering,35
Tristan Boyer,35
Matias Soto,35
Andre Ilagan,35
Robert Strombachs,35
Oriol Roca Batalla,35
Vadym Ursu,35
Juan Pablo Ficovich,34
Martin Landaluce,34
Hynek Barton,34
Beibit Zhukayev,34
Duje Ajdukovic,34
Murkel Dellien,34
Stefano Napolitano,34
Joaquin Aguilar Cardozo,34
Rodrigo Pacheco Mendez,34
Mathys Erhard,34
