Player,Points
Elena Rybakina,2388
Aryna Sabalenka,1800
Victoria Mboko,1507
Karolina Muchova,1435
Elina Svitolina,1150
Jessica Pegula,975
Mirra Andreeva,968
Iga Swiatek,795
Iva Jovic,701
Belinda Bencic,634
Sara Bejlek,630
Elisabetta Cocciaretto,603
Coco Gauff,590
Amanda Anisimova,565
(2001) Wang Xinyu,552
Maria Sakkari,551
Jelena Ostapenko,532
Elise Mertens,520
Kimberly Birrell,515
Janice Tjen,512
Anna Kalinskaya,501
Ekaterina Alexandrova,471
Sorana Cirstea,469
Diana Shnaider,460
Madison Keys,456
Yulia Putintseva,424
Magda Linette,368
Clara Tauson,347
Hailey Baptiste,347
Marta Kostyuk,335
Alexandra Eala,321
Linda Noskova,320
Tereza Valentova,313
Emma Raducanu,308
Maddison Inglis,298
Katie Boulter,291
Alycia Parks,288
Anna Blinkova,263
Varvara Gracheva,252
Karolina Pliskova,251
Tamara Korpatsch,248
Sonay Kartal,247
Liudmila Samsonova,247
Leylah Fernandez,245
Maya Joint,238
Jasmine Paolini,237
Magdalena Frech,237
Peyton Stearns,236
Zeynep Sonmez,234
Ann Li,232
Anastasia Potapova,231
Aliaksandra Sasnovich,231
Cristina Bucsa,226
Nikola Bartunkova,225
Katerina Siniakova,218
McCartney Kessler,211
Anna Bondar,211
Gabriela Ruse Elena,211
Dayana Yastremska,206
Lilli Tagger,205
Daria Kasatkina,202
Ella Seidel,198
Marie Bouzkova,195
Emma Navarro,195
Linda Fruhvirtova,194
Storm Hunter,194
Jaqueline Cristian,194
Ajla Tomljanovic,192
Taylah Preston,181
Oksana Selekhmeteva,174
Barbora Krejcikova,166
Zhuoxuan Bai,164
Camila Osorio,163
Naomi Osaka,162
Katie Volynets,159
Olga Danilovic,154
Daria Snigur,147
Caty McNally,143
Paula Badosa,142
Viktorija Golubic,140
Lanlana Tararudee,138
Moyuka Uchijima,133
Diane Parry,130
Alina Korneeva,129
Rebecca Sramkova,127
Anastasia Zakharova,121
Qinwen Zheng,120
Dominika Salkova,120
Petra Marcinko,114
Maja Chwalinska,114
Antonia Ruzic,114
Himeno Sakatsume,112
Linda Klimovicova,112
Vera Zvonareva,111
Simona Waltert,109
Oleksandra Oliynykova,108
Renata Zarazua,104
Shuai Zhang,102
Joanna Garland,100
(1998) Yuan Yue,96
Solana Sierra,94
Laura Siegemund,91
Julia Grabher,88
Elsa Jacquemot,85
Yuliia Starodubtseva,82
Olivia Gadecki,77
Priscilla Hon,76
Sofia Costoulas,75
Ashlyn Krueger,74
Talia Gibson,73
Eva Lys,72
Tamara Zidansek,72
Kaja Juvan,71
Polina Kudermetova,71
Arina Rodionova,71
Fiona Ferro,70
Kaitlin Quevedo,69
Donna Vekic,67
Francesca Jones,65
Sofia Kenin,65
Chloe Paquet,64
Jessica Bouzas Maneiro,63
Elena Pridankina,62
Tatjana Maria,62
Marketa Vondrousova,61
Kamilla Rakhimova,58
Polina Iatcenko,56
Mia Pohankova,54
Rebeka Masarova,53
Emiliana Arango,53
Hanyu Guo,52
Sinja Kraus,52
Matilde Jorge,49
Fangran Tian,49
Mei Yamaguchi,48
Viktoria Morvayova,48
Whitney Osuigwe,48
Veronika Erjavec,44
Emerson Jones,43
Youngsuh Lee Carol,43
Panna Udvardy,42
Anhelina Kalinina,42
Sloane Stephens,41
Marina Stakusic,40
Guiomar Maristany Zuleta De Reales,40
Lucrezia Stefanini,39
Yexin Ma,38
Ekaterine Gorgodze,38
Dalma Galfi,37
Katarzyna Kawa,35
Darja Semenistaja,35
Gabriela Knutson,33
Lucia Bronzetti,33
Iryna Shymanovich,33
Beatriz Haddad Maia,32
Lin Zhu,32
Viktoriya Tomova,32
Darja Vidmanova,32
Greet Minnen,32
Anastasia Pavlyuchenkova,32
Elvina Kalieva,31
Elina Avanesyan,31
Sara Sorribes Tormo,31
Eudice Chong,30
Yafan Wang,30
Taylor Townsend,30
Rashmikaa Bhamidipaty Shrivalli,30
Marina Bassols Ribera,30
Tereza Martincova,30
Sahaja Yamalapalli,30
Anastasia Gasanova,30
Wushuang Zheng,30
Shuo Liang En,29
Nuria Parrizas-Diaz,25
Astrid Lew Yan Foon,24
Victoria Jimenez Kasintseva,22
Teodora Kostovic,22
Misaki Matsuda,21
Claire Liu,21
Harmony Tan,21
Lola Radivojevic,21
(Kuzmova) Hruncakova Viktoria,21
Lizette Cabrera,21
Mary Stoiana,21
Tatiana Prozorova,21
Anouk Koevermans,21
Mai Hontama,21
Silvia Ambrosio,20
Nadine Smith Tina,20
Carson Branstine,20
Lourdes Carle Maria,20
Lina Gjorcheska,20
Caroline Werner,20
Harriet Dart,20
Elena Micic,20
Jasmin Ortenzi,20
Julia Riera,20
Lulu Sun,20
Justina Mikulskyte,20
Despina Papamichail,20
Kathinka von Deichmann,20
Anna Siskova,19
Mona Barthel,19
Aliona Falei,18
Momoko Kobori,18
Arianne Hartono,18
Kristiana Sidorova,18
Ayano Shimizu,18
Vendula Valdmannova,18
Mayar Sherif,18
Hanne Vandewinkel,18
Francisca Jorge,18
Rina Saigo,18
Mariia Tkacheva,16
Maria Timofeeva,16
Sohyun Park,15
Eri Shimizu,15
Kristina Mladenovic,15
Aliona Bolsova Zadoinov,15
Laura Pigossi,15
Yasmine Kabbaj,15
Leyre Romero Gormaz,15
Suzan Lamens,15
Yeonwoo Ku,14
Xinyu Gao,14
Xiaodi You,14
Katarzyna Piter,13
Mina Hodzic,13
Sarah Rakotomanga Rajaonah Tiantsoa,13
Katherine Sebov,13
Haruka Kaji,12
Amy Zhu,12
Jia-Jing Lu,12
Vaishnavi Adkar,12
Thasaporn Naklo,12
Madelyn Nugroho Priska,12
Venus Williams,12
Han Shi,12
Miho Kuramochi,12
Elizabeth Mandlik,12
Susan Bandecchi,12
Kyoka Okamura,12
Peangtarn Plipuech,12
Zarina Diyas,11
Leolia Jeanjean,11
Sakura Hosogi,10
Mananchaya Sawangkaew,10
Dalila Jakupovic,10
Nicole Fossa Huergo,9
Varvara Lepchenko,9
Naiktha Bains,8
Bianca Bulgaru Miriam,7
Diana Martynov,6
Ekaterina Kazionova,6
Zuzanna Pawlikowska,6
Ena Shibahara,6
Noma Noha Akugue,6
Yidi Yang,6
Anna-Lena Friedsam,6
Alina Charaeva,5
Lucija Ciric Bagaric,5
Yasmine Mansouri,5
Carolyn Ansari,5
Carole Monnet,5
Nika Radisic,4
Mia Horvit,4
Dalayna Hewitt,4
Alana Smith,4
Anastasia Kulikova,4
Ankita Raina,4
Nadiya Kolb,4
Sara Daavettila,4
Cadence Brace,4
Elena Cabezas Dominguez Sofia,4
Lea Ma,4
Victoria Hu,4
Shilin Xu,4
Marie Dittmann Gina,4
Nao Hibino,4
Louisa Chirico,4
Manon Leonard,4
Jessika Ponchet,4
Camilla Rosatello,4
Madison Brengle,4
Ksenia Efremova,3
Laura Samson,3
Tahlia Kokkinis,3
Stefani Webb,3
Sijia Wei,3
Destanee Aiava,3
Astra Sharma,3
Aleksandra Krunic,3
Anastasija Sevastova,3
Renee Alame,3
Selena Janicijevic,3
Alana Subasic,3
Mingge Xu,3
Kayla Cross,3
Barbora Palicova,3
Sada Nahimana,3
Alice Rame,3
Andrea Lazaro Garcia,3
Tara Wuerth,2
Eva Vedder,2
Berfu Cengiz,2
Bernarda Pera,2
Sofia Sanchez Ana,2
Hiroko Kuwata,2
Sachia Vickery,2
Ekaterina Yashina,2
Analu Freitas,2
Sarah Rokusek,2
Luisina Giovannini,2
Sara Lanca,2
Nuria Brancaccio,2
Alice Tubello,2
Angelina Voloshchuk,2
Anastasiia Sobolieva,2
Fiona Crawley,2
Jessica Pieri,2
Oceane Dodin,2
Arantxa Rus,2
Emily Appleton,2
Georgiana Serban Raluca,2
Irene Burillo Escorihuela,2
Isabella Guillen Giselle,1
Ava Beck,1
Aishi Das,1
Anna Frey,1
Kanon Sawashiro,1
Sonal Patil,1
Mara Gae,1
Brenda Fruhvirtova,1
Carson Tanguilig,1
Dileep Nitture Akanksha,1
Elizabeth Coleman,1
Teresa Franco Dias,1
Zeel Desai,1
Mary Lewis,1
Freya Christie,1
Valeriya Strakhova,1
Filipa Santos Ana,1
Naoko Eto,1
Ana Bogdan,1
Emily Webley-Smith,1
Madalena Matias,1
Tori Russell,1
Jizelle Sibai,1
Sarah Mildren,1
Ellie Schoppe,1
Maaya Rajeshwaran Revathi,1
Julie Pastikova,1
Alevtina Ibragimova,1
Elyse Tse,1
Vaidehi Chaudhari,1
Monique Barry,1
Saumya Vig,1
Martina Capurro Taborda,1
Laquisa Khan,1
Ruxandra Bertea Elena,1
Yaroslava Bartashevich,1
Briana Szabo,1
Lucie Havlickova,1
Nahia Berecoechea,1
Diletta Cherubini,1
Gabriella da Silva Fick,1
Ekaterina Ovcharenko,1
Katie Swan,1
Katarina Jokic,1
Ayana Akli,1
Alicia Dudeney,1
Lisa Pigato,1
Hanna Chang,1
Angela Fita Boluda,1
Jamie Loeb,1
Isabella Shinikova,1
Sara Saito,1
Katrina Scott,1
Sinclair Rogers Anna,1
Lia Karatancheva,1
Tiphanie Lemaitre,1
Kayla Day,1
Ylena In-Albon,1
Gala Ivanovic,0
Neus Torner Sensano,0
Yun Choi Seo,0
Jana Kovackova,0
Valeriia Artemeva,0
Victoria Milovanova,0
Wen Wan I,0
Charo Esquiva Banuls,0
Dune Vaissaud,0
Maria Golovina,0
Celia Anson Sanchez,0
Caterina Grant Tyra,0
Rada Zolotareva,0
Lorena Solar Donoso,0
Kateryna Lazarenko,0
Marcella Dessolis,0
Alena Kovackova,0
Belle Thompson,0
Victoria Pohle,0
Maayan Laron,0
Carmen Lopez Martinez,0
Onyu Choi,0
Viola Turini,0
Antonia Vergara Rivera,0
Iva Ivanova,0
Maria Garcia Cid,0
Aruzhan Sagandikova,0
Giorgia Pedone,0
Elena Korokozidi,0
Midori Castillo Meza,0
Jamilah Snells,0
Nana Kawagishi,0
Jennifer Ruggeri,0
Lucie Nguyen Tan,0
Martyna Kubka,0
Ane Mintegi Del Olmo,0
Mara Guth,0
Ava Hrastar,0
Dayeon Back,0
(2000) Lee Eunhye,0
Hania Abouelsaad,0
Margaux Maquet,0
